FL Paper Experiment | INFO flwr 2024-04-01 10:04:03,705 | main.py:26 | 
================================================================================
FedFaces - FedAvgM(accept_failures=True) - 25 clients - IID Distribution has started
================================================================================
FL Paper Experiment | INFO flwr 2024-04-01 10:04:03,707 | app.py:178 | Starting Flower simulation, config: ServerConfig(num_rounds=100, round_timeout=None)
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,942 | app.py:213 | Flower VCE: Ray initialized with resources: {'node:172.18.144.40': 1.0, 'CPU': 12.0, 'node:__internal_head__': 1.0, 'object_store_memory': 4453800345.0, 'memory': 8907600692.0}
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,943 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.dev/docs/framework/how-to-run-simulations.html
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,943 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 10, 'num_gpus': 0, 'memory': 3221225472}
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,951 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 1 actors
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,952 | server.py:89 | Initializing global parameters
FL Paper Experiment | INFO flwr 2024-04-01 10:04:05,952 | server.py:276 | Requesting initial parameters from one random client
FL Paper Experiment | INFO flwr 2024-04-01 10:04:08,245 | server.py:280 | Received initial parameters from one random client
FL Paper Experiment | INFO flwr 2024-04-01 10:04:08,246 | server.py:91 | Evaluating initial parameters
FL Paper Experiment | INFO flwr 2024-04-01 10:04:08,246 | server.py:104 | FL starting
FL Paper Experiment | DEBUG flwr 2024-04-01 10:04:08,246 | server.py:222 | fit_round 1: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:05:57,413 | server.py:236 | fit_round 1 received 18 results and 0 failures
FL Paper Experiment | WARNING flwr 2024-04-01 10:06:06,797 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
FL Paper Experiment | DEBUG flwr 2024-04-01 10:06:06,838 | server.py:173 | evaluate_round 1: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:06:24,424 | server.py:187 | evaluate_round 1 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 10:06:24,426 | server.py:222 | fit_round 2: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:08:38,393 | server.py:236 | fit_round 2 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 10:08:47,657 | server.py:173 | evaluate_round 2: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:09:00,835 | server.py:187 | evaluate_round 2 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 10:09:00,836 | server.py:222 | fit_round 3: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:10:51,190 | server.py:236 | fit_round 3 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 10:10:53,389 | server.py:173 | evaluate_round 3: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 10:11:06,238 | server.py:187 | evaluate_round 3 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 10:11:06,239 | server.py:222 | fit_round 4: strategy sampled 18 clients (out of 25)
