FL Paper Experiment | INFO flwr 2024-04-01 14:44:17,528 | main.py:26 | 
FL Paper Experiment | DEBUG flwr 2024-04-01 15:03:08,676 | server.py:222 | fit_round 10: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:04:47,905 | server.py:236 | fit_round 10 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:04:51,619 | server.py:173 | evaluate_round 10: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:05:07,800 | server.py:187 | evaluate_round 10 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:05:07,801 | server.py:222 | fit_round 11: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:06:51,043 | server.py:236 | fit_round 11 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:06:56,814 | server.py:173 | evaluate_round 11: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:07:13,417 | server.py:187 | evaluate_round 11 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:07:13,419 | server.py:222 | fit_round 12: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:08:56,896 | server.py:236 | fit_round 12 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:09:02,122 | server.py:173 | evaluate_round 12: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:09:21,283 | server.py:187 | evaluate_round 12 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:09:21,285 | server.py:222 | fit_round 13: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:11:02,548 | server.py:236 | fit_round 13 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:11:06,695 | server.py:173 | evaluate_round 13: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:11:21,337 | server.py:187 | evaluate_round 13 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:11:21,339 | server.py:222 | fit_round 14: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:13:02,952 | server.py:236 | fit_round 14 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:13:05,815 | server.py:173 | evaluate_round 14: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:13:19,151 | server.py:187 | evaluate_round 14 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:13:19,152 | server.py:222 | fit_round 15: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:14:58,769 | server.py:236 | fit_round 15 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:15:02,146 | server.py:173 | evaluate_round 15: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:15:19,243 | server.py:187 | evaluate_round 15 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:15:19,246 | server.py:222 | fit_round 16: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:16:59,241 | server.py:236 | fit_round 16 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:17:03,545 | server.py:173 | evaluate_round 16: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:17:19,019 | server.py:187 | evaluate_round 16 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:17:19,019 | server.py:222 | fit_round 17: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:18:58,141 | server.py:236 | fit_round 17 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:19:00,980 | server.py:173 | evaluate_round 17: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:19:17,191 | server.py:187 | evaluate_round 17 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:19:17,193 | server.py:222 | fit_round 18: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:20:51,215 | server.py:236 | fit_round 18 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:20:53,144 | server.py:173 | evaluate_round 18: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:21:07,280 | server.py:187 | evaluate_round 18 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:21:07,281 | server.py:222 | fit_round 19: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:22:45,848 | server.py:236 | fit_round 19 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:22:47,938 | server.py:173 | evaluate_round 19: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:23:00,826 | server.py:187 | evaluate_round 19 received 18 results and 0 failures
FL Paper Experiment | DEBUG flwr 2024-04-01 15:23:00,827 | server.py:222 | fit_round 20: strategy sampled 18 clients (out of 25)
FL Paper Experiment | DEBUG flwr 2024-04-01 15:24:38,188 | server.py:236 | fit_round 20 received 18 results and 0 failures
